,title,new_price,list_price,rating,rating_count,img_url
61,"AINOPE USB C Cable [2-Pack, 6.6ft] 3.1A Type C Charger Fast Charging Cable Right Angle, Durable Nylon Braided USB C Charging Cable Compatible with Galaxy S10 S9 Plus S21, Note 10 9 LG, Type C Charger",$8.99,$12.99,"76,405 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71slGPTBJ9S._AC_SL1200_.jpg
62,"Amazon Basics 3-Button Wired USB Computer Mouse, Black",N/A,N/A,"69,864 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/61i0CV-tKpL._AC_SL1500_.jpg
63,"Anker Premium Nylon USB A to USB C Cable(2-pack, 6ft), USB 2.0, Fast Charging USB C Cable for Samsung Galaxy S10 S10+ / Note 9, LG V30 and More (Black)",N/A,N/A,"78,412 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71JPX+AFszL._SL1500_.jpg
64,"Amazon Basics Computer Monitor TV Replacement Power Cord - 6-Foot, Black",$5.61,$5.61,"31,137 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/710SsyCVdhL._AC_SL1500_.jpg
65,"Brother Genuine Standard Yield Toner Cartridge, TN730, Replacement Black Toner, Page Yield Up To 1,200 Pages, Amazon Dash Replenishment Cartridge,1 Pack",N/A,N/A,"11,368 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/7197bPYLO4L._AC_SL1500_.jpg
66,"SanDisk 128GB microSDXC-Card, Licensed for Nintendo-Switch - SDSQXAO-128G-GNCZN",N/A,N/A,"260,949 ratings",4.9 out of 5 stars,https://m.media-amazon.com/images/I/61ysEjw8BML._AC_SL1392_.jpg
67,"Original HP 65XL Black High-yield Ink Cartridge | Works with HP AMP 100 Series, HP DeskJet 2600, 3700 Series, HP ENVY 5000 Series | Eligible for Instant Ink | N9K04AN",$33.89,$33.89,"26,250 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/71uhraUK9BL._AC_SL1500_.jpg
68,Amazon Basics Mini Gaming Computer Mouse Pad - Black,N/A,N/A,"52,673 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71I9assPTZL._AC_SL1484_.jpg
69,"Original HP 62 Black/Tri-color Ink (2-pack) | Works with HP ENVY 5540, 5640, 5660, 7640 Series, HP OfficeJet 5740, 8040 Series, HP OfficeJet Mobile 200, 250 Series | Eligible for Instant Ink | N9H64FN",$41.89,$41.89,"22,416 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71aoDu7OcyS._AC_SL1500_.jpg
70,SanDisk 32GB (Pack of 2) Ultra microSDHC UHS-I Memory Card (2x32GB) with Adapter - SDSQUA4-032G-GN6MT,$12.70,$15.99,"101,361 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/61sE6df4IgS._AC_SL1500_.jpg
71,"Logitech MK345 Wireless Combo Full-Sized Keyboard with Palm Rest and Comfortable Right-Handed Mouse, 2.4 GHz Wireless USB Receiver, Compatible with PC, Laptop",N/A,N/A,"34,618 ratings",4.5 out of 5 stars,https://m.media-amazon.com/images/I/61S0sV1a57L._AC_SL1500_.jpg
72,[Apple MFi Certified] iPhone Charger Fast Charging 3 Pack 10 FT Lightning Cable Nylon Braided Long iPhone Charger Cord Compatible with iPhone 13 12 11 Pro Max XR XS X 8 7 6 Plus SE iPad and More,$10.99,$10.99,"5,188 ratings",4.5 out of 5 stars,https://m.media-amazon.com/images/I/713jkR6zEoL._SL1500_.jpg
