rank,asin_id,cat_id,asin_url
98,B011K4XZQ0,193870011,https://www.amazon.com/dp/B011K4XZQ0
99,B08RX4QKXS,193870011,https://www.amazon.com/dp/B08RX4QKXS
100,B09QVPCJN2,193870011,https://www.amazon.com/dp/B09QVPCJN2
1,B015CH1PJU,1292110011,https://www.amazon.com/dp/B015CH1PJU
2,B07CRG94G3,1292110011,https://www.amazon.com/dp/B07CRG94G3
3,B07D7PDLXC,1292110011,https://www.amazon.com/dp/B07D7PDLXC
4,B082ZGHXK8,1292110011,https://www.amazon.com/dp/B082ZGHXK8
5,B08HN37XC1,1292110011,https://www.amazon.com/dp/B08HN37XC1
6,B07MFZXR1B,1292110011,https://www.amazon.com/dp/B07MFZXR1B
7,B07CRG7BBH,1292110011,https://www.amazon.com/dp/B07CRG7BBH
8,B07VS8QCXC,1292110011,https://www.amazon.com/dp/B07VS8QCXC
9,B07MFZY2F2,1292110011,https://www.amazon.com/dp/B07MFZY2F2
10,B09WB2RPS4,1292110011,https://www.amazon.com/dp/B09WB2RPS4
11,B08QBJ2YMG,1292110011,https://www.amazon.com/dp/B08QBJ2YMG
12,B08RK2SR23,1292110011,https://www.amazon.com/dp/B08RK2SR23
13,B08GTYFC37,1292110011,https://www.amazon.com/dp/B08GTYFC37
14,B08QB93S6R,1292110011,https://www.amazon.com/dp/B08QB93S6R
15,B01EZ0X55C,1292110011,https://www.amazon.com/dp/B01EZ0X55C
16,B079D3D8NR,1292110011,https://www.amazon.com/dp/B079D3D8NR
17,B0874XN4D8,1292110011,https://www.amazon.com/dp/B0874XN4D8
18,B09HKDQ1RN,1292110011,https://www.amazon.com/dp/B09HKDQ1RN
19,B09ZYQ84CM,1292110011,https://www.amazon.com/dp/B09ZYQ84CM
20,B08RSML1B8,1292110011,https://www.amazon.com/dp/B08RSML1B8
21,B07857Y17V,1292110011,https://www.amazon.com/dp/B07857Y17V
22,B09QV692XY,1292110011,https://www.amazon.com/dp/B09QV692XY
23,B08HSS37H7,1292110011,https://www.amazon.com/dp/B08HSS37H7
24,B08QBMD6P4,1292110011,https://www.amazon.com/dp/B08QBMD6P4
25,B09K7FBSHM,1292110011,https://www.amazon.com/dp/B09K7FBSHM
26,B06W55K9N6,1292110011,https://www.amazon.com/dp/B06W55K9N6
27,B01N0TQPQB,1292110011,https://www.amazon.com/dp/B01N0TQPQB
28,B01N5IB20Q,1292110011,https://www.amazon.com/dp/B01N5IB20Q
29,B06XC1WGQR,1292110011,https://www.amazon.com/dp/B06XC1WGQR
30,B08V83JZH4,1292110011,https://www.amazon.com/dp/B08V83JZH4
31,B06XG9XP49,1292110011,https://www.amazon.com/dp/B06XG9XP49
32,B0B61DGG18,1292110011,https://www.amazon.com/dp/B0B61DGG18
33,B07H2RR55Q,1292110011,https://www.amazon.com/dp/B07H2RR55Q
34,B0BQLJTYLL,1292110011,https://www.amazon.com/dp/B0BQLJTYLL
35,B07CRGSR16,1292110011,https://www.amazon.com/dp/B07CRGSR16
36,B07YD579WM,1292110011,https://www.amazon.com/dp/B07YD579WM
37,B078211KBB,1292110011,https://www.amazon.com/dp/B078211KBB
38,B09JHKSNNG,1292110011,https://www.amazon.com/dp/B09JHKSNNG
39,B0B7CKZGN6,1292110011,https://www.amazon.com/dp/B0B7CKZGN6
40,B09DSMYXWL,1292110011,https://www.amazon.com/dp/B09DSMYXWL
41,B07LGLQT11,1292110011,https://www.amazon.com/dp/B07LGLQT11
42,B07X41PWTY,1292110011,https://www.amazon.com/dp/B07X41PWTY
43,B08GLX7TNT,1292110011,https://www.amazon.com/dp/B08GLX7TNT
44,B015CH1GTO,1292110011,https://www.amazon.com/dp/B015CH1GTO
45,B07VTFN6HM,1292110011,https://www.amazon.com/dp/B07VTFN6HM
