asin_id,title,new_price,list_price,rating,rating_count,img_url
B082T6K8XX,"Amazon Basics ABS USB-A to Lightning Cable Cord, MFi Certified Charger for Apple iPhone 14 13 12 11 X Xs Pro, Pro Max, Plus, iPad, White, 6-Ft",N/A,N/A,"62,473 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/515hqvoNvlL._AC_SL1302_.jpg
B00L1G7LBI,"Original HP 62XL Black High-yield Ink | Works with HP ENVY 5540, 5640, 5660, 7640 Series, HP OfficeJet 5740, 8040 Series, HP OfficeJet Mobile 200, 250 Series | Eligible for Instant Ink | C2P05AN",N/A,N/A,"24,810 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71Y0+glPuTL._AC_SL1500_.jpg
B076FPGWNZ,"JSAUX USB-C to USB A Cable 3.1A Fast Charging [2-Pack 6.6ft], USB Type C Charger Cord Compatible with Samsung Galaxy S20 S10 S9 S8 A73 A51 A13, Note 20 10, LG G8 G7, PS5 Controller USB C Charger-Red",$5.99,$5.99,"156,041 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/814lvrcxv4L._AC_SL1500_.jpg
B06X6H2WF7,Amazon Basics Mini Gaming Computer Mouse Pad - Black,$5.41,$5.41,"52,674 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71I9assPTZL._AC_SL1484_.jpg
B08FBJYWTJ,"Amazon Basics 8K DisplayPort to DisplayPort 1.4 Cable with 4K@120Hz, 8K@60Hz Video Resolution, and HDR Support, 6 Feet",$10.79,$10.79,"4,520 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/61mQoqR+RwL._AC_SL1500_.jpg
B01H6GUCCQ,"BENGOO G9000 Stereo Gaming Headset for PS4 PC Xbox One PS5 Controller, Noise Cancelling Over Ear Headphones with Mic, LED Light, Bass Surround, Soft Memory Earmuffs for Laptop Mac Nintendo NES Games",$23.91,$23.91,"96,897 ratings",4.3 out of 5 stars,https://m.media-amazon.com/images/I/61CGHv6kmWL._AC_SL1000_.jpg
B09JR4B7TG,Apple USB-C to Lightning Cable (1 m),$14.13,$14.13,"12,913 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/61QHx7l9ukL._AC_SL1500_.jpg
B01644VWZM,"Original HP 62 Black/Tri-color Ink (2-pack) | Works with HP ENVY 5540, 5640, 5660, 7640 Series, HP OfficeJet 5740, 8040 Series, HP OfficeJet Mobile 200, 250 Series | Eligible for Instant Ink | N9H64FN",N/A,N/A,"22,416 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71aoDu7OcyS._AC_SL1500_.jpg
B005EJH6RW,"Amazon Basics 3-Button Wired USB Computer Mouse, Black",N/A,N/A,"69,865 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/61i0CV-tKpL._AC_SL1500_.jpg
B00006HTZ0,"Belkin Large Mouse Pad, 8 Inch by 9 Inch, for Computer or Gaming Mouse Pad, Non-slip Base, Neoprene Backing and Jersey Surface for Smooth Mouse Control and Pinpoint Accuracy (Black)",$2.83,$7.99,"16,070 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/710L1ewi8YL._AC_SL1500_.jpg
B01BYKV8FK,"Original HP 65XL Black High-yield Ink Cartridge | Works with HP AMP 100 Series, HP DeskJet 2600, 3700 Series, HP ENVY 5000 Series | Eligible for Instant Ink | N9K04AN",N/A,N/A,"26,250 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/71uhraUK9BL._AC_SL1500_.jpg
B07QLXC6QR,"Cat8 Ethernet Cable, Outdoor&Indoor, 6FT Heavy Duty High Speed 26AWG Cat8 LAN Network Cable 40Gbps, 2000Mhz with Gold Plated RJ45 Connector, Weatherproof S/FTP UV Resistant for Router/Gaming/Modem",N/A,N/A,"53,290 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/611BhwbmZWL._SL1200_.jpg
